a	ˈeɪ
extreme	ɛkstɹˈiːm
extremely	ɛkstɹˈiːmli
eye	ˈaɪ
eyed	ˈaɪd
eyes	ˈaɪz
f	ˈɛf
fa	fˈɑː
fabric	fˈæbɹɪk
fabulous	fˈæbjʊləs
face	fˈeɪs
faced	fˈeɪsd
faces	fˈeɪsᵻz
facial	fˈeɪʃəl
facilitate	fəsˈɪlᵻtˌeɪt
facilities	fəsˈɪlᵻɾiz
facility	fəsˈɪlᵻɾi
facing	fˈeɪsɪŋ
fact	fˈækt
factor	fˈæktɚ
factors	fˈæktɚz
factory	fˈæktɚɹi
facts	fˈækts
faculty	fˈækəlti
fail	fˈeɪl
failed	fˈeɪld
fails	fˈeɪlz
failure	fˈeɪlɪɹ
fair	fˈɛɹ
fairly	fˈɛɹli
faith	fˈeɪθ
fake	fˈeɪk
fall	fˈɔːl
fallen	fˈɔːlən
falling	fˈɔːlɪŋ
falls	fˈɔːlz
false	fˈɔls
fame	fˈeɪm
familiar	fəmˈɪlɪɹ
families	fˈæmɪliz
family	fˈæmɪli
famous	fˈeɪməs
fan	fˈæn
fancy	fˈænsi
fans	fˈænz
fantastic	fæntˈæstɪk
fantasy	fˈæntəsi
faq	fˈæk
faqs	fˈækz
far	fˈɑːɹ
farm	fˈɑːɹm
farmer	fˈɑːɹmɚ
farmers	fˈɑːɹmɚz
farming	fˈɑːɹmɪŋ
farms	fˈɑːɹmz
fashion	fˈæʃən
fast	fˈæst
faster	fˈæstɚ
fastest	fˈæstɪst
fat	fˈæt
fate	fˈeɪt
father	fˈɑːðɚ
fault	fˈɔlt
favor	fˈeɪvɚ
favorite	fˈeɪvɚɹᵻt
favorites	fˈeɪvɚɹᵻts
fax	fˈæks
fc	ˌɛfsˈiː
fda	ˌɛfdˌiːˈeɪ
fe	fˈiː
fear	fˈɪɹ
feature	fˈiːtʃɚ
featured	fˈiːtʃɚd
features	fˈiːtʃɚz
featuring	fˈiːtʃɚɹɪŋ
feb	fˈɛb
february	fˈɛbɹuːˌɛɹi
fed	fˈɛd
federal	fˈɛdɚɹəl
federation	fˌɛdɚɹˈeɪʃən
fee	fˈiː
feed	fˈiːd
feedback	fˈiːdbæk
feeding	fˈiːdɪŋ
feeds	fˈiːdz
feel	fˈiːl
feeling	fˈiːlɪŋ
feelings	fˈiːlɪŋz
feels	fˈiːlz
fees	fˈiːz
feet	fˈiːt
fell	fˈɛl
fellow	fˈɛloʊ
fellowship	fˈɛloʊʃˌɪp
felt	fˈɛlt
female	fˈiːmeɪl
females	fˈiːmeɪlz
ferry	fˈɛɹi
festival	fˈɛstɪvəl
festivals	fˈɛstɪvəlz
fetish	fˈɛɾɪʃ
fever	fˈiːvɚ
few	fjˈuː
fewer	fjˈuːɚ
ff	ˌɛfˈɛf
fg	ˌɛfdʒˈiː
fi	fˌaɪ
fiber	fˈaɪbɚ
fiction	fˈɪkʃən
field	fˈiːld
fields	fˈiːldz
fifth	fˈɪfθ
fifty	fˈɪfti
fig	fˈɪɡ
fight	fˈaɪt
fighting	fˈaɪɾɪŋ
figure	fˈɪɡjɚ
figures	fˈɪɡjɚz
fiji	fˈiːdʒi
file	fˈaɪl
filed	fˈaɪld
filename	fˈaɪlneɪm
files	fˈaɪlz
filing	fˈaɪlɪŋ
fill	fˈɪl
filled	fˈɪld
filling	fˈɪlɪŋ
film	fˈɪlm
films	fˈɪlmz
filter	fˈɪltɚ
filtering	fˈɪltɚɹɪŋ
filters	fˈɪltɚz
final	fˈaɪnəl
finally	fˈaɪnəli
finance	fˈaɪnæns
financial	faɪnˈænʃəl
financing	faɪnˈænsɪŋ
find	fˈaɪnd
finder	fˈaɪndɚ
finding	fˈaɪndɪŋ
findings	fˈaɪndɪŋz
finds	fˈaɪndz
fine	fˈaɪn
finest	fˈaɪnɪst
finger	fˈɪŋɡɚ
fingering	fˈɪŋɡɚɹɪŋ
fingers	fˈɪŋɡɚz
finish	fˈɪnɪʃ
finished	fˈɪnɪʃt
finishing	fˈɪnɪʃɪŋ
finite	fˈaɪnaɪt
finland	fˈɪnlənd
fire	fˈaɪɚ
fired	fˈaɪɚd
firefox	fˈaɪɚfɑːks
firewall	fˈaɪɚwɔːl
firm	fˈɜːm
firms	fˈɜːmz
first	fˈɜːst
fiscal	fˈɪskəl
fish	fˈɪʃ
fisher	fˈɪʃɚ
fisheries	fˈɪʃɚɹiz
fishing	fˈɪʃɪŋ
fist	fˈɪst
fisting	fˈɪstɪŋ
fit	fˈɪt
fitness	fˈɪtnəs
fits	fˈɪts
fitted	fˈɪɾᵻd
fitting	fˈɪɾɪŋ
five	fˈaɪv
fix	fˈɪks
fixed	fˈɪkst
fixes	fˈɪksᵻz
fixtures	fˈɪkstʃɚz
fl	ˌɛfˈɛl
flag	flˈæɡ
flags	flˈæɡz
flame	flˈeɪm
flash	flˈæʃ
flashing	flˈæʃɪŋ
flat	flˈæt
fleet	flˈiːt
flexibility	flˌɛksəbˈɪlᵻɾi
flexible	flˈɛksɪbəl
flickr	flˈɪkɚ
flight	flˈaɪt
flights	flˈaɪts
flip	flˈɪp
float	flˈoʊt
floating	flˈoʊɾɪŋ
flood	flˈʌd
floor	flˈɔːɹ
flooring	flˈɔːɹɪŋ
floors	flˈɔːɹz
floral	flˈɔːɹəl
florence	flˈɔːɹəns
florida	flˈɔːɹɪdə
florist	flˈɔːɹɪst
florists	flˈɔːɹɪsts
flow	flˈoʊ
flower	flˈaʊɚ
flowers	flˈaʊɚz
flows	flˈoʊz
floyd	flˈɔɪd
flu	flˈuː
fluid	flˈuːɪd
fly	flˈaɪ
flying	flˈaɪɪŋ
fm	ˌɛfˈɛm
foam	fˈoʊm
focus	fˈoʊkəs
focused	fˈoʊkəst
focuses	fˈoʊkəsᵻz
focusing	fˈoʊkəsɪŋ
fold	fˈoʊld
folder	fˈoʊldɚ
folders	fˈoʊldɚz
folding	fˈoʊldɪŋ
folk	fˈoʊk
folks	fˈoʊks
follow	fˈɑːloʊ
followed	fˈɑːloʊd
following	fˈɑːloʊɪŋ
follows	fˈɑːloʊz
font	fˈɔnt
fonts	fˈɔnts
food	fˈuːd
foods	fˈuːdz
fool	fˈuːl
foot	fˈʊt
football	fˈʊtbɔːl
footwear	fˈʊtwɛɹ
for	fɔːɹ
force	fˈɔːɹs
forced	fˈɔːɹst
forces	fˈɔːɹsᵻz
ford	fˈɔːɹd
forecast	fˈɔːɹkæst
forecasts	fˈɔːɹkæsts
foreign	fˈɔːɹən
forest	fˈɔːɹɪst
forestry	fˈɔːɹɪstɹi
forests	fˈɔːɹɪsts
forever	fɚɹˈɛvɚ
forget	fɚɡˈɛt
forgot	fɚɡˈɑːt
forgotten	fɚɡˈɑːʔn̩
fork	fˈɔːɹk
form	fˈɔːɹm
formal	fˈɔːɹməl
format	fˈɔːɹmæt
formation	fɔːɹmˈeɪʃən
formats	fˈɔːɹmæts
formed	fˈɔːɹmd
former	fˈɔːɹmɚ
formerly	fˈɔːɹmɚli
forming	fˈɔːɹmɪŋ
forms	fˈɔːɹmz
formula	fˈɔːɹmjʊlə
fort	fˈɔːɹt
forth	fˈɔːɹθ
fortune	fˈɔːɹtʃʊn
forty	fˈɔːɹɾi
forum	fˈɔːɹəm
forums	fˈɔːɹəmz
forward	fˈɔːɹwɚd
foster	fˈɑːstɚ
foto	fˈoʊɾoʊ
fotos	fˈoʊɾoʊz
found	fˈaʊnd
foundation	faʊndˈeɪʃən
foundations	faʊndˈeɪʃənz
founded	fˈaʊndᵻd
founder	fˈaʊndɚ
four	fˈɔːɹ
fourth	fˈɔːɹθ
fox	fˈɑːks
fr	ˌɛfˈɑːɹ
fraction	fɹˈækʃən
fragrance	fɹˈeɪɡɹəns
frame	fɹˈeɪm
framed	fɹˈeɪmd
frames	fɹˈeɪmz
framework	fɹˈeɪmwɜːk
france	fɹˈæns
franchise	fɹˈæntʃaɪz
francis	fɹˈænsɪs
francisco	fɹænsˈɪskoʊ
frank	fɹˈæŋk
franklin	fɹˈæŋklɪn
fraud	fɹˈɔːd
fred	fɹˈɛd
frederick	fɹˈɛdɚɹˌɪk
free	fɹˈiː
freebsd	fɹˈiːbsd
freedom	fɹˈiːdəm
freeware	fɹˈiːwɛɹ
freight	fɹˈeɪt
french	fɹˈɛntʃ
frequency	fɹˈiːkwənsi
frequent	fɹˈiːkwənt
frequently	fɹˈiːkwəntli
fresh	fɹˈɛʃ
fri	fɹˈaɪ
friday	fɹˈaɪdeɪ
friend	fɹˈɛnd
friendly	fɹˈɛndli
friends	fɹˈɛndz
friendship	fɹˈɛndʃɪp
frog	fɹˈɑːɡ
from	fɹʌm
front	fɹˈʌnt
frozen	fɹˈoʊzən
fruit	fɹˈuːt
fruits	fɹˈuːts
fs	ˌɛfˈɛs
ft	ˌɛftˈiː
ftp	ˌɛftˌiːpˈiː
fuck	fˈʌk
fucked	fˈʌkt
fucking	fˈʌkɪŋ
fuel	fjˈuːəl
fujitsu	fuːdʒˈɪtsuː
full	fˈʊl
fully	fˈʊli
fun	fˈʌn
function	fˈʌŋkʃən
functional	fˈʌŋkʃənəl
functionality	fˌʌŋkʃənˈælᵻɾi
functions	fˈʌŋkʃənz
fund	fˈʌnd
fundamental	fˌʌndəmˈɛntəl
funded	fˈʌndᵻd
funding	fˈʌndɪŋ
funds	fˈʌndz
funeral	fjˈuːnɚɹəl
funny	fˈʌni
furnished	fˈɜːnɪʃt
furnishings	fˈɜːnɪʃɪŋz
furniture	fˈɜːnɪtʃɚ
further	fˈɜːðɚ
furthermore	fˌɜːðɚmˈɔːɹ
fusion	fjˈuːʒən
future	fjˈuːtʃɚ
futures	fjˈuːtʃɚz
fw	ˌɛfdˈʌbəljˌuː
fwd	ˌɛfdˌʌbəljˌuːdˈiː
fx	ˌɛfˈɛks
fy	fˈaɪ
g	dʒˈiː
ga	ɡˈɑː
gadgets	ɡˈædʒɪts
gain	ɡˈeɪn
gained	ɡˈeɪnd
gains	ɡˈeɪnz
galaxy	ɡˈælɐksi
galleries	ɡˈælɚɹiz
gallery	ɡˈælɚɹi
gambling	ɡˈæmblɪŋ
game	ɡˈeɪm
gamecube	ɡˈeɪmkjuːb
games	ɡˈeɪmz
gamespot	ɡˈeɪmspɑːt
gaming	ɡˈeɪmɪŋ
gamma	ɡˈæmə
gang	ɡˈæŋ
gangbang	ɡˈæŋbæŋ
gap	ɡˈæp
garage	ɡɚɹˈɑːʒ
garden	ɡˈɑːɹdən
gardening	ɡˈɑːɹdənɪŋ
gardens	ɡˈɑːɹdənz
gary	ɡˈæɹi
gas	ɡˈæs
gate	ɡˈeɪt
gates	ɡˈeɪts
gateway	ɡˈeɪtweɪ
gather	ɡˈæðɚ
gathered	ɡˈæðɚd
gathering	ɡˈæðɚɹɪŋ
gauge	ɡˈeɪdʒ
gave	ɡˈeɪv
gay	ɡˈeɪ
gb	dʒˌiːbˈiː
gbp	dʒˌiːbˌiːpˈiː
gc	dʒˌiːsˈiː
gcc	dʒˌiːsˌiːsˈiː
gdp	dʒˌiːdˌiːpˈiː
ge	dʒˈiː
gear	ɡˈɪɹ
geek	ɡˈiːk
gel	dʒˈɛl
gen	dʒˈɛn
gender	dʒˈɛndɚ
gene	dʒˈiːn
genealogy	dʒˌiːnɪˈælədʒi
general	dʒˈɛnɚɹəl
generally	dʒˈɛnɚɹəli
generate	dʒˈɛnɚɹˌeɪt
generated	dʒˈɛnɚɹˌeɪɾᵻd
generating	dʒˈɛnɚɹˌeɪɾɪŋ
generation	dʒˌɛnɚɹˈeɪʃən
generations	dʒˌɛnɚɹˈeɪʃənz
generator	dʒˈɛnɚɹˌeɪɾɚ
generic	dʒənˈɛɹɪk
genes	dʒˈiːnz
genesis	dʒˈɛnᵻsˌɪs
genetic	dʒɪnˈɛɾɪk
genetics	dʒɪnˈɛɾɪks
geneva	dʒənˈiːvə
genome	dʒˈiːnoʊm
genre	ʒˈɑːnɹə
genres	ʒˈɑːnɹəz
genuine	dʒˈɛnjuːɪn
geo	dʒˈiːoʊ
geographic	dʒˌɪəɡɹˈæfɪk
geographical	dʒˌɪəɡɹˈæfɪkəl
geography	dʒɪˈɑːɡɹəfi
geometry	dʒiˈɑːmətɹi
george	dʒˈɔːɹdʒ
georgia	dʒˈɔːɹdʒə
german	dʒˈɜːmən
germany	dʒˈɜːməni
get	ɡˈɛt
gets	ɡˈɛts
getting	ɡˈɛɾɪŋ
ghana	ɡˈɑːnə
ghost	ɡˈoʊst
ghz	ɡˈɪɡəhˌɜːts
gi	ɡˈiː
giant	dʒˈaɪənt
gibson	ɡˈɪbsən
gif	ɡˈɪf
gift	ɡˈɪft
gifts	ɡˈɪfts
girl	ɡˈɜːl
girls	ɡˈɜːlz
gis	dʒˈɪs
give	ɡˈɪv
given	ɡˈɪvən
gives	ɡˈɪvz
giving	ɡˈɪvɪŋ
glad	ɡlˈæd
glance	ɡlˈæns
glasgow	ɡlˈæzɡoʊ
glass	ɡlˈæs
glasses	ɡlˈæsᵻz
glen	ɡlˈɛn
glenn	ɡlˈɛn
global	ɡlˈoʊbəl
globe	ɡlˈoʊb
glory	ɡlˈɔːɹi
glossary	ɡlˈɔsɚɹi
gloves	ɡlˈʌvz
gm	dʒˌiːˈɛm
gmbh	dʒˌiːˌɛmbˌiːˈeɪtʃ
gmt	dʒˌiːˌɛmtˈiː
gnome	nˈoʊm
gnu	ɡənˈuː
go	ɡˈoʊ
goal	ɡˈoʊl
goals	ɡˈoʊlz
god	ɡˈɑːd
gods	ɡˈɑːdz
goes	ɡˈoʊz
going	ɡˈoʊɪŋ
gold	ɡˈoʊld
golden	ɡˈoʊldən
golf	ɡˈɑːlf
gone	ɡˈɔn
gonna	ɡˌənə
good	ɡˈʊd
goods	ɡˈʊdz
google	ɡˈuːɡəl
gordon	ɡˈɔːɹdən
gorgeous	ɡˈɔːɹdʒəs
gospel	ɡˈɑːspəl
got	ɡˈɑːt
goto	ɡˈoʊɾuː
gotten	ɡˈɑːʔn̩
gourmet	ɡˈʊɹmeɪ
governance	ɡˈʌvɚnəns
governing	ɡˈʌvɚnɪŋ
government	ɡˈʌvɚnmənt
governmental	ɡˌʌvɚnmˈɛntəl
governments	ɡˈʌvɚnmənts
governor	ɡˈʌvɚnɚ
gp	dʒˌiːpˈiː
gpl	dʒˌiːpˌiːˈɛl
gps	dʒˌiːpˌiːˈɛs
gr	dʒˌiːˈɑːɹ
grab	ɡɹˈæb
grace	ɡɹˈeɪs
grade	ɡɹˈeɪd
grades	ɡɹˈeɪdz
graduate	ɡɹˈædʒuːət
graduates	ɡɹˈædʒuːəts
graduation	ɡɹˌædʒuːˈeɪʃən
graham	ɡɹˈeɪəm
grain	ɡɹˈeɪn
grammar	ɡɹˈæmɚ
grand	ɡɹˈænd
grant	ɡɹˈænt
granted	ɡɹˈæntᵻd
grants	ɡɹˈænts
graph	ɡɹˈæf
graphic	ɡɹˈæfɪk
graphics	ɡɹˈæfɪks
gras	ɡɹˈɑːz
grass	ɡɹˈæs
gratis	ɡɹˈæɾɪs
gravity	ɡɹˈævᵻɾi
gray	ɡɹˈeɪ
great	ɡɹˈeɪt
greater	ɡɹˈeɪɾɚ
greatest	ɡɹˈeɪɾɪst
greatly	ɡɹˈeɪtli
greece	ɡɹˈiːs
greek	ɡɹˈiːk
green	ɡɹˈiːn
greeting	ɡɹˈiːɾɪŋ
greg	ɡɹˈɛɡ
gregory	ɡɹˈɛɡɚɹi
grew	ɡɹˈuː
grey	ɡɹˈeɪ
grid	ɡɹˈɪd
grill	ɡɹˈɪl
grip	ɡɹˈɪp
grocery	ɡɹˈoʊsɚɹi
gross	ɡɹˈoʊs
ground	ɡɹˈaʊnd
grounds	ɡɹˈaʊndz
group	ɡɹˈuːp
groups	ɡɹˈuːps
grove	ɡɹˈoʊv
grow	ɡɹˈoʊ
growing	ɡɹˈoʊɪŋ
grown	ɡɹˈoʊn
growth	ɡɹˈoʊθ
gs	dʒˌiːˈɛs
gsm	dʒˌiːˌɛsˈɛm
gt	dʒˌiːtˈiː
guam	ɡwˈɑːm
guarantee	ɡˌæɹəntˈiː
guaranteed	ɡˌæɹəntˈiːd
guard	ɡˈɑːɹd
guardian	ɡˈɑːɹdiən
guatemala	ɡwˌɑːɾɪmˈɑːlə
guess	ɡˈɛs
guest	ɡˈɛst
guestbook	ɡˈɛstbʊk
guests	ɡˈɛsts
gui	ɡˈuːi
guidance	ɡˈaɪdəns
guide	ɡˈaɪd
guided	ɡˈaɪdᵻd
guidelines	ɡˈaɪdlaɪnz
guides	ɡˈaɪdz
guild	ɡˈɪld
guilty	ɡˈɪlti
guinea	ɡˈɪni
guitar	ɡɪtˈɑːɹ
guitars	ɡɪtˈɑːɹz
gulf	ɡˈʌlf
gun	ɡˈʌn
guns	ɡˈʌnz
guy	ɡˈaɪ
guys	ɡˈaɪz
gym	dʒˈɪm
h	ˈeɪtʃ
ha	hˈɑː
habitat	hˈæbɪtˌæt
hacker	hˈækɚ
had	hˌæd
hair	hˈɛɹ
hairy	hˈɛɹi
haiti	hˈeɪɾi
half	hˈæf
hall	hˈɔːl
halloween	hˌæloʊˈiːn
hamilton	hˈæməltən
hammer	hˈæmɚ
hampshire	hˈæmpʃɚ
hampton	hˈæmptən
hand	hˈænd
handbook	hˈændbʊk
handed	hˈændᵻd
handheld	hˈændhɛld
handjob	hˈændʒɑːb
handle	hˈændəl
handled	hˈændəld
handles	hˈændəlz
handling	hˈændlɪŋ
hands	hˈændz
handy	hˈændi
hang	hˈæŋ
hanging	hˈæŋɪŋ
happen	hˈæpən
happened	hˈæpənd
happening	hˈæpənɪŋ
happens	hˈæpənz
happiness	hˈæpɪnəs
happy	hˈæpi
harbor	hˈɑːɹbɚ
hard	hˈɑːɹd
hardcore	hˈɑːɹdkɔːɹ
hardcover	hˈɑːɹdkʌvɚ
harder	hˈɑːɹdɚ
hardly	hˈɑːɹdli
hardware	hˈɑːɹdwɛɹ
harm	hˈɑːɹm
harmony	hˈɑːɹməni
harris	hˈæɹɪs
harrison	hˈæɹɪsən
harry	hˈæɹi
hart	hˈɑːɹt
harvard	hˈɑːɹvɚd
harvest	hˈɑːɹvɪst
harvey	hˈɑːɹvi
has	hˈæz
hat	hˈæt
hate	hˈeɪt
hats	hˈæts
have	hˈæv
haven	hˈeɪvən
having	hˈævɪŋ
hawaii	həwˈaɪiː
hazard	hˈæzɚd
hazardous	hˈæzɚdəs
hb	ˌeɪtʃbˈiː
hd	ˌeɪtʃdˈiː
hdtv	ˌeɪtʃdˌiːtˌiːvˈiː
he	hiː
head	hˈɛd
headed	hˈɛdᵻd
header	hˈɛdɚ
headers	hˈɛdɚz
heading	hˈɛdɪŋ
headlines	hˈɛdlaɪnz
headphones	hˈɛdfoʊnz
headquarters	hɛdkwˈɔːɹɾɚz
heads	hˈɛdz
headset	hˈɛdsɛt
healing	hˈiːlɪŋ
health	hˈɛlθ
healthcare	hˈɛlθkɛɹ
healthy	hˈɛlθi
hear	hˈɪɹ
heard	hˈɜːd
hearing	hˈɪɹɪŋ
heart	hˈɑːɹt
hearts	hˈɑːɹts
heat	hˈiːt
heather	hˈɛðɚ
heating	hˈiːɾɪŋ
heaven	hˈɛvən
heavily	hˈɛvili
heavy	hˈɛvi
hebrew	hˈiːbɹuː
height	hˈaɪt
heights	hˈaɪts
held	hˈɛld
helen	hˈɛlən
hell	hˈɛl
hello	həlˈoʊ
help	hˈɛlp
helped	hˈɛlpt
helpful	hˈɛlpfəl
helping	hˈɛlpɪŋ
helps	hˈɛlps
hence	hˈɛns
henderson	hˈɛndɚsən
henry	hˈɛnɹi
hentai	hˈɛntaɪ
her	hɜː
herald	hˈɛɹəld
herbal	hˈɜːbəl
herbs	ˈɜːbz
here	hˈɪɹ
hereby	hˈɪɹbaɪ
herein	hɪɹˈɪn
heritage	hˈɛɹɪɾɪdʒ
hero	hˈiəɹoʊ
heroes	hˈiəɹoʊz
herself	hɜːsˈɛlf
hewlett	hjˈuːlɪt
hey	hˈeɪ
hi	hˈaɪ
hidden	hˈɪdən
hide	hˈaɪd
high	hˈaɪ
higher	hˈaɪɚ
highest	hˈaɪɪst
highlight	hˈaɪlaɪt
highlights	hˈaɪlaɪts
highly	hˈaɪli
highs	hˈaɪz
highway	hˈaɪweɪ
hiking	hˈaɪkɪŋ
hill	hˈɪl
hills	hˈɪlz
hilton	hˈɪltən
him	hˌɪm
himself	hɪmsˈɛlf
hints	hˈɪnts
hip	hˈɪp
hire	hˈaɪɚ
hiring	hˈaɪɚɹɪŋ
his	hˈɪz
hispanic	hɪspˈænɪk
hist	hˈɪst
historic	hɪstˈɔːɹɪk
historical	hɪstˈɔːɹɪkəl
history	hˈɪstɚɹi
hit	hˈɪt
hits	hˈɪts
hiv	ˌeɪtʃˌaɪvˈiː
ho	hˈoʊ
hobbies	hˈɑːbɪz
hobby	hˈɑːbi
hockey	hˈɑːki
hold	hˈoʊld
holdem	hˈoʊldəm
holder	hˈoʊldɚ
holders	hˈoʊldɚz
holding	hˈoʊldɪŋ
holdings	hˈoʊldɪŋz
holds	hˈoʊldz
hole	hˈoʊl
holes	hˈoʊlz
holiday	hˈɑːlɪdˌeɪ
holidays	hˈɑːlɪdˌeɪz
holland	hˈɑːlənd
hollywood	hˈɑːliwˌʊd
holmes	hˈoʊmz
holy	hˈoʊli
home	hˈoʊm
homeland	hˈoʊmlənd
homepage	hˈoʊmpeɪdʒ
homes	hˈoʊmz
homework	hˈoʊmwɜːk
hon	hˈɑːn
honda	hˈɑːndə
honest	ˈɑːnɪst
honey	hˈʌni
hong	hˈɑːŋ
honolulu	hˌɑːnəlˈuːluː
honor	ˈɑːnɚ
honors	ˈɑːnɚz
hood	hˈʊd
hook	hˈʊk
hop	hˈɑːp
hope	hˈoʊp
hopefully	hˈoʊpfəli
hopes	hˈoʊps
hoping	hˈoʊpɪŋ
horizon	hɚɹˈaɪzən
horizontal	hˌɔːɹɪzˈɔntəl
hormone	hˈɔːɹmoʊn
horn	hˈɔːɹn
horny	hˈɔːɹni
horror	hˈɔɹɚ
horse	hˈɔːɹs
horses	hˈɔːɹsᵻz
hospital	hˈɑːspɪɾəl
hospitality	hˌɑːspɪtˈælᵻɾi
hospitals	hˈɑːspɪɾəlz
host	hˈoʊst
hosted	hˈoʊstᵻd
hosting	hˈoʊstɪŋ
hosts	hˈoʊsts
hot	hˈɑːt
hotel	hoʊtˈɛl
hotels	hoʊtˈɛlz
hotmail	hˈɑːtmeɪl
hottest	hˈɑːɾɪst
hour	ˈaʊɚ
hourly	ˈaʊɚli
hours	ˈaʊɚz
house	hˈaʊs
household	hˈaʊshoʊld
households	hˈaʊshoʊldz
houses	hˈaʊzᵻz
housewares	hˈaʊswɛɹz
housing	hˈaʊzɪŋ
houston	hjˈuːstən
how	hˈaʊ
howard	hˈaʊɚd
however	haʊˈɛvɚ
hp	ˌeɪtʃpˈiː
hr	ˌeɪtʃˈɑːɹ
href	ˈeɪtʃɹˈɛf
hrs	ˌeɪtʃˌɑːɹɹˈɛs
hs	ˌeɪtʃˈɛs
ht	ˌeɪtʃtˈiː
html	ˌeɪtʃtˌiːˌɛmˈɛl
http	ˌeɪtʃtˌiːtˌiːpˈiː
hub	hˈʌb
hudson	hˈʌdsən
huge	hjˈuːdʒ
hughes	hjˈuːz
human	hjˈuːmən
humanities	hjuːmˈænᵻɾiz
humanity	hjuːmˈænᵻɾi
humans	hjˈuːmənz
humidity	hjuːmˈɪdᵻɾi
humor	hjˈuːmɚ
hundred	hˈʌndɹɪd
hundreds	hˈʌndɹɪdz
hung	hˈʌŋ
hungarian	hʌŋɡˈɛɹiən
hungary	hˈʌŋɡɚɹi
hunt	hˈʌnt
hunter	hˈʌntɚ
hunting	hˈʌntɪŋ
hurricane	hˈɜːɹᵻkˌeɪn
hurt	hˈɜːt
husband	hˈʌsbənd
hwy	ˌeɪtʃdˌʌbəljˌuːwˈaɪ
hybrid	hˈaɪbɹɪd
hydrogen	hˈaɪdɹədʒən
hz	ˌeɪtʃzˈiː
i	ˈaɪ
ia	ˈaɪə
ian	ˈiːən
ibm	ˌaɪbˌiːˈɛm
ic	ˈaɪk
ice	ˈaɪs
iceland	ˈaɪslənd
icon	ˈaɪkɑːn
icons	ˈaɪkɑːnz
icq	ˈaɪk
ict	ˈaɪkt
id	aɪdˈiː
idaho	ˈaɪdəhˌoʊ
ide	ˈaɪd
idea	aɪdˈiə
ideal	aɪdˈiəl
ideas	aɪdˈiəz
identical	aɪdˈɛntɪkəl
identification	aɪdˈɛntɪfɪkˈeɪʃən
identified	aɪdˈɛntᵻfˌaɪd
identifier	aɪdˈɛntɪfˌaɪɚ
identify	aɪdˈɛntᵻfˌaɪ
identifying	aɪdˈɛntᵻfˌaɪɪŋ
identity	aɪdˈɛntᵻɾi
ie	ˈaɪiː
ieee	ˌaɪˌiːˌiːˈiː
if	ɪf
ignore	ɪɡnˈɔːɹ
ignored	ɪɡnˈɔːɹd
ii	ɹˌoʊmən tˈuː
iii	ɹˌoʊmən θɹˈiː
il	ˈɪl
ill	ˈɪl
illegal	ɪlˈiːɡəl
illinois	ˌɪlənˈɔɪ
illness	ˈɪlnəs
illustrated	ˈɪləstɹˌeɪɾᵻd
illustration	ˌɪləstɹˈeɪʃən
illustrations	ˌɪləstɹˈeɪʃənz
im	ˈɪm
image	ˈɪmɪdʒ
images	ˈɪmɪdʒᵻz
imagination	ɪmˌædʒᵻnˈeɪʃən
imagine	ɪmˈædʒɪn
imaging	ˈɪmɪdʒɪŋ
img	ˈɪmɡ
immediate	ɪmˈiːdɪət
immediately	ɪmˈiːdɪətli
immigration	ˌɪmɪɡɹˈeɪʃən
immune	ɪmjˈuːn
impact	ˈɪmpækt
impacts	ˈɪmpækts
imperial	ɪmpˈɪɹiəl
implement	ˈɪmplɪmənt
implementation	ˌɪmplɪməntˈeɪʃən
implemented	ˈɪmplɪməntᵻd
implementing	ˈɪmplɪməntɪŋ
implications	ˌɪmplɪkˈeɪʃənz
implied	ɪmplˈaɪd
implies	ɪmplˈaɪz
import	ɪmpˈɔːɹt
importance	ɪmpˈɔːɹtəns
important	ɪmpˈɔːɹtənt
imported	ɪmpˈɔːɹɾᵻd
imports	ɪmpˈɔːɹts
imposed	ɪmpˈoʊzd
impossible	ɪmpˈɑːsᵻbəl
impression	ɪmpɹˈɛʃən
impressive	ɪmpɹˈɛsɪv
improve	ɪmpɹˈuːv
improved	ɪmpɹˈuːvd
improvement	ɪmpɹˈuːvmənt
improvements	ɪmpɹˈuːvmənts
improving	ɪmpɹˈuːvɪŋ
in	ˈɪn
inappropriate	ˌɪnɐpɹˈoʊpɹiət
inc	ˈɪŋk
incentive	ɪnsˈɛntɪv
incentives	ɪnsˈɛntɪvz
incest	ɪnsˈɛst
inch	ˈɪntʃ
inches	ˈɪntʃᵻz
incident	ˈɪnsɪdənt
include	ɪŋklˈuːd
included	ɪŋklˈuːdᵻd
includes	ɪŋklˈuːdz
including	ɪŋklˈuːdɪŋ
inclusion	ɪŋklˈuːʒən
inclusive	ɪŋklˈuːsɪv
income	ˈɪŋkʌm
incoming	ˈɪŋkʌmˌɪŋ
incorporate	ɪŋkˈɔːɹpɚɹˌeɪt
incorporated	ɪŋkˈɔːɹpɚɹˌeɪɾᵻd
incorrect	ɪŋkɚɹˈɛkt
increase	ˈɪŋkɹiːs
increased	ɪŋkɹˈiːst
increases	ˈɪŋkɹiːsᵻz
increasing	ɪŋkɹˈiːsɪŋ
increasingly	ɪŋkɹˈiːsɪŋli
incredible	ɪŋkɹˈɛdɪbəl
indeed	ˌɪndˈiːd
independence	ˌɪndᵻpˈɛndəns
independent	ˌɪndᵻpˈɛndənt
independently	ˌɪndᵻpˈɛndəntli
index	ˈɪndɛks
indexed	ˈɪndɛkst
india	ˈɪndiə
indian	ˈɪndiən
